# step   N   rho   U
33850 17 0.0495627 -8.28954
33900 17 0.0495627 -8.09429
33950 13 0.0379009 -3.36836
34000 17 0.0495627 -9.58709
34050 22 0.0641399 -12.0868
34100 22 0.0641399 -6.36615
34150 29 0.0845481 -14.2473
34200 33 0.0962099 -24.2174
34250 34 0.0991254 -28.0032
34300 30 0.0874636 -25.0452
34350 26 0.0758017 -21.8404
34400 28 0.0816327 -19.2763
34450 16 0.0466472 -7.27848
34500 26 0.0758017 -12.7744
34550 25 0.0728863 -16.1414
34600 19 0.0553936 -13.7109
34650 17 0.0495627 -9.6732
34700 19 0.0553936 -14.9142
34750 22 0.0641399 -15.8511
34800 22 0.0641399 -17.9144
34850 31 0.090379 -27.6549
34900 37 0.107872 -28.4067
34950 36 0.104956 -30.0602
35000 32 0.0932945 -26.1806
35050 32 0.0932945 -29.5719
35100 33 0.0962099 -32.7545
35150 33 0.0962099 -30.4151
35200 35 0.102041 -33.2675
35250 23 0.0670554 -11.6603
35300 27 0.0787172 -16.3726
35350 25 0.0728863 -17.5865
35400 25 0.0728863 -18.0458
35450 35 0.102041 -28.1823
35500 33 0.0962099 -27.4224
35550 22 0.0641399 -14.6843
35600 24 0.0699708 -13.3787
35650 18 0.0524781 -5.95692
35700 16 0.0466472 -4.41309
35750 17 0.0495627 -6.63164
35800 18 0.0524781 -10.2255
35850 20 0.058309 -10.6687
35900 19 0.0553936 -6.64766
35950 16 0.0466472 -4.66354
36000 14 0.0408163 -3.38422
36050 13 0.0379009 -2.7676
36100 14 0.0408163 -5.19694
36150 16 0.0466472 -7.5526
36200 19 0.0553936 -11.9042
36250 20 0.058309 -11.9386
36300 25 0.0728863 -13.91
36350 17 0.0495627 -6.3744
36400 12 0.0349854 -4.5968
36450 22 0.0641399 -10.3612
36500 25 0.0728863 -14.4581
36550 20 0.058309 -6.24045
36600 22 0.0641399 -9.36862
36650 27 0.0787172 -15.9388
36700 26 0.0758017 -14.7107
36750 20 0.058309 -9.85989
36800 17 0.0495627 -7.53155
36850 16 0.0466472 -6.05052
36900 14 0.0408163 -4.77583
36950 18 0.0524781 -5.24048
37000 21 0.0612245 -11.8978
37050 25 0.0728863 -17.19
37100 19 0.0553936 -9.39954
37150 14 0.0408163 -9.61047
37200 12 0.0349854 -6.85657
37250 14 0.0408163 -7.8026
37300 14 0.0408163 -5.63714
37350 14 0.0408163 -3.49176
37400 14 0.0408163 -4.00383
37450 14 0.0408163 -4.99484
37500 18 0.0524781 -7.56899
37550 16 0.0466472 -7.33989
37600 24 0.0699708 -12.8002
37650 32 0.0932945 -14.3478
37700 25 0.0728863 -13.1368
37750 26 0.0758017 -15.3241
37800 29 0.0845481 -13.7522
37850 34 0.0991254 -20.5203
37900 38 0.110787 -31.7617
37950 32 0.0932945 -24.1649
38000 24 0.0699708 -15.9427
38050 28 0.0816327 -20.2615
38100 28 0.0816327 -19.4388
38150 19 0.0553936 -10.5159
38200 14 0.0408163 -5.15135
38250 19 0.0553936 -7.03426
38300 18 0.0524781 -7.41159
38350 17 0.0495627 -7.72473
38400 11 0.03207 -2.02898
38450 13 0.0379009 -4.51863
38500 10 0.0291545 -3.1921
38550 16 0.0466472 -4.10889
38600 14 0.0408163 -1.55317
38650 12 0.0349854 -1.24511
38700 20 0.058309 -7.49771
38750 23 0.0670554 -11.9438
38800 21 0.0612245 -14.1553
38850 22 0.0641399 -13.8656
38900 20 0.058309 -12.9927
38950 23 0.0670554 -12.427
39000 18 0.0524781 -5.6936
39050 15 0.0437318 -4.90232
39100 16 0.0466472 -4.60917
39150 24 0.0699708 -7.20809
39200 23 0.0670554 -10.6953
39250 20 0.058309 -8.8656
39300 20 0.058309 -11.3456
